x,z,Q,PT,percent_O3S1OCT,percent_O1S0OCT,percent_O3P0OCT,percent_O3S1SING,total
0.1,0.1,10.0,0.01,0.010676600740125256,1.120323222952232e-09,1.41348353973141e-10,0.9893233979982032,1.0
0.1,0.1,10.0,0.13224489795918368,0.010710552646836687,1.0483917889626837e-09,1.3227294646122889e-10,0.9892894461724986,1.0
0.1,0.1,10.0,0.25448979591836735,0.010802948345359704,8.75286471845721e-10,1.1043268542120173e-10,0.9891970506689212,1.0
0.1,0.1,10.0,0.37673469387755104,0.010954026757784386,6.518875541580472e-10,8.224700770997546e-11,0.989045972508081,1.0
0.1,0.1,10.0,0.49897959183673474,0.011164166886010199,4.330230081799812e-10,5.4633420235142316e-11,0.9888358326263335,1.0
0.1,0.1,14.444444444444445,0.01,0.02321041110349427,1.1061297662598795e-09,1.39525521304433e-10,0.9767895876508506,1.0
0.1,0.1,14.444444444444445,0.13224489795918368,0.023283282861009016,1.0350679360128558e-09,1.3056189044257834e-10,0.9767167159733612,1.0
0.1,0.1,14.444444444444445,0.25448979591836735,0.023481564144149054,8.640678568368858e-10,1.0899220131758557e-10,0.9765184348827908,0.9999999999999999
0.1,0.1,14.444444444444445,0.37673469387755104,0.023805684965379763,6.434169306860674e-10,8.115963009802963e-11,0.9761943143100437,1.0
0.1,0.1,14.444444444444445,0.49897959183673474,0.024256322567672114,4.272897970169356e-10,5.389768316102469e-11,0.9757436769511404,1.0
0.1,0.1,18.88888888888889,0.01,0.04047012391663009,1.0865846335960822e-09,1.3696223159305925e-10,0.959529874859823,1.0
0.1,0.1,18.88888888888889,0.13224489795918368,0.04059493246510975,1.0167220501380986e-09,1.281561662030174e-10,0.959405066390012,1.0
0.1,0.1,18.88888888888889,0.25448979591836735,0.040934461695289324,8.486247405281556e-10,1.0696777283068336e-10,0.9590655373491181,1.0
0.1,0.1,18.88888888888889,0.37673469387755104,0.041489253074545054,6.317615594745102e-10,7.963252041764573e-11,0.9585107462140608,1.0
0.1,0.1,18.88888888888889,0.49897959183673474,0.04226014620525677,4.194057078595661e-10,5.2865409573485766e-11,0.9577398533224721,1.0
0.1,0.1,23.333333333333336,0.01,0.062087508242618016,1.0621048146634156e-09,1.3373442398693252e-10,0.9379124905615427,1.0
0.1,0.1,23.333333333333336,0.13224489795918368,0.062274657312952036,9.937471305348195e-10,1.2512719861161438e-10,0.9377253415681736,0.9999999999999999
0.1,0.1,23.333333333333336,0.25448979591836735,0.06278364615756227,8.292915899201905e-10,1.0441985721562727e-10,0.9372163529087263,1.0
0.1,0.1,23.333333333333336,0.37673469387755104,0.0636149210287645,6.171783672297103e-10,7.771172138487796e-11,0.9363850782763453,0.9999999999999999
0.1,0.1,23.333333333333336,0.49897959183673474,0.06476914162610939,4.095487502313931e-10,5.15681366383039e-11,0.9352308579127737,1.0
0.1,0.1,27.77777777777778,0.01,0.08755364472059084,1.0332666166419868e-09,1.3004733494265252e-10,0.9124463541160952,1.0
0.1,0.1,27.77777777777778,0.13224489795918368,0.08781036912271895,9.66685858772287e-10,1.2166745507432168e-10,0.9121896297889277,1.0
0.1,0.1,27.77777777777778,0.25448979591836735,0.0885083693236972,8.065291866744496e-10,1.0151007454527994e-10,0.9114916297682635,1.0
0.1,0.1,27.77777777777778,0.37673469387755104,0.08964766771052102,6.000199903478584e-10,7.551874743679228e-11,0.9103523316139404,1.0
0.1,0.1,27.77777777777778,0.49897959183673474,0.09122820531987044,3.9796201058199223e-10,5.008765216164901e-11,0.9087717942320799,1.0
0.1,0.1,32.22222222222222,0.01,0.11625634165342591,1.0007632937050174e-09,1.2597268744686167e-10,0.8837436572198382,1.0
0.1,0.1,32.22222222222222,0.13224489795918368,0.1165864743102264,9.361906053581818e-10,1.178444965570815e-10,0.8834135246357385,1.0
0.1,0.1,32.22222222222222,0.25448979591836735,0.11748375420654561,7.808904503255338e-10,9.829584003317082e-11,0.882516244914268,1.0
0.1,0.1,32.22222222222222,0.37673469387755104,0.11894735726404843,5.807083471306714e-10,7.309759617586278e-11,0.8810526420821456,1.0
0.1,0.1,32.22222222222222,0.49897959183673474,0.12097581806570873,3.8493517607012493e-10,4.8454333734464185e-11,0.8790241815009018,1.0
0.1,0.1,32.22222222222222,0.6212244897959184,0.12356686689352035,2.2739012873475548e-10,2.8623097785247413e-11,0.8764331328504664,1.0
0.1,0.1,32.22222222222222,0.7434693877551021,0.12671722292020984,1.1966868876536593e-10,1.5063488461097248e-11,0.873282776945058,1.0
0.1,0.1,32.22222222222222,0.8657142857142858,0.1304223600827971,5.608762084157977e-11,7.060119385230995e-12,0.8695776398540551,1.0
0.1,0.1,32.22222222222222,0.9879591836734695,0.13467626397448657,2.3402963502857534e-11,2.945885630718155e-12,0.8653237359991646,1.0
0.1,0.1,32.22222222222222,1.110204081632653,0.13947119832153712,8.690082543076964e-12,1.0938781018172898e-12,0.8605288016686788,0.9999999999999999
0.1,0.1,32.22222222222222,1.2324489795918367,0.14479749835165362,2.870481362999783e-12,3.6132645335591037e-13,0.8552025016451146,1.0
0.1,0.1,32.22222222222222,1.3546938775510204,0.1506434058432281,8.431266500356566e-13,1.0612992166194275e-13,0.8493565941558225,0.9999999999999999
0.1,0.1,32.22222222222222,1.4769387755102041,0.15699495720561393,2.201263895627178e-13,2.7708762946859204e-14,0.8430050427941382,1.0
0.1,0.1,36.66666666666667,0.01,0.1475329441848745,9.65345245190967e-10,1.215419810048257e-10,0.8524670547282382,1.0
